starttime_VCO2_6262_1,area_VCO2_6262_1
16:24:08,-3.573983E-03
16:24:51,2.381349
16:25:55,.1894641
16:27:03,7.675875E-02
16:28:11,4.635876E-02
16:29:19,4.737322E-03
16:30:24,3.903331E-03
16:31:33,4.632443E-02
16:32:46,4.507668E-03
16:33:56,3.78052E-03
16:35:06,1.790133E-03
16:36:14,1.821629E-03
16:37:20,1.543027E-03
16:38:32,1.559706E-03
16:39:40,1.450278E-03
16:40:47,2.062309E-03
16:41:57,1.381371E-03
16:43:02,1.504355E-03
16:44:11,1.300281E-03
16:45:17,1.498465E-03
16:46:26,1.816685E-03
16:48:02,2.058523E-03
16:49:39,2.032244E-03
16:51:08,1.925705E-03
16:52:39,1.703364E-03
16:54:10,1.665261E-03
16:55:40,2.066989E-03
16:57:15,2.313472E-03
16:58:55,1.821782E-03
17:00:37,2.40511E-03
17:02:16,2.544045E-03
17:03:58,2.464388E-03
17:05:28,3.023685E-03
17:07:20,3.04385E-03
17:09:07,2.644685E-03
17:10:50,3.056126E-03
16:24:08,3.409339E-02
16:24:51,.7061295
16:25:55,.785305
16:27:03,.7708665
16:28:11,.8523973
16:29:19,.7685025
16:30:24,1.131364
16:31:33,1.633742
16:32:46,1.268142
16:33:56,1.185329
16:35:06,.9435124
16:36:14,.886933
16:37:20,1.006281
16:38:32,1.01915
16:39:40,.8426561
16:40:47,1.48051
16:41:57,.6976177
16:43:02,1.291463
16:44:11,.8737984
16:45:17,.5654911
16:46:26,8.376101
16:48:02,5.456147
16:49:39,5.38156
16:51:08,5.811364
16:52:39,4.334343
16:54:10,6.371764
16:55:40,7.274207
16:57:15,7.907149
16:58:55,8.002485
17:00:37,4.698645
17:02:16,7.71781
17:03:58,4.613839
17:05:28,7.122982
17:07:20,8.052066
17:09:07,5.825152
17:10:50,7.756617
