starttime_VCO2_6262_1,area_VCO2_6262_1
11:15:32,9.057489E-03
11:18:07,.2055765
11:19:28,7.476524E-03
11:20:32,1.914566E-03
11:21:42,2.449862E-03
11:22:52,7.731952E-03
11:23:56,1.921741E-03
11:25:06,5.140259E-02
11:26:16,4.610035E-03
11:27:25,2.679161E-03
11:28:38,.0516886
11:29:46,4.604731E-03
11:31:00,2.540682E-03
11:32:07,6.713758E-02
11:33:27,5.882817E-03
11:35:00,3.121446E-03
11:36:21,7.11008E-03
11:39:49,1.798893E-03
11:41:03,1.408872E-03
11:42:19,-2.652172E-04
11:43:36,-1.084661E-03
11:44:58,-.0017295
11:46:20,-2.215603E-03
11:47:46,-4.15028E-03
11:49:26,-3.960175E-03
11:50:56,-4.254235E-03
11:52:28,-3.228494E-03
11:53:50,-3.130165E-03
11:55:29,-2.303525E-03
11:56:57,-1.46529E-03
11:58:15,-1.307799E-03
11:59:56,-1.130875E-03
24:01:17,-5.005098E-04
24:02:39,-3.651921E-04
24:04:04,5.541944E-04
24:05:34,4.729611E-04
24:06:51,2.684949E-03
24:09:44,2.128706E-03
11:15:32,1.232235E-03
11:18:07,.991697
11:19:28,.6863365
11:20:32,.9512066
11:21:42,.892975
11:22:52,.6555403
11:23:56,1.035613
11:25:06,1.11196
11:26:16,.8862727
11:27:25,.7301763
11:28:38,.9822838
11:29:46,1.659228
11:31:00,.9014286
11:32:07,1.123898
11:33:27,3.128222
11:35:00,2.925952
11:36:21,1.867652
11:39:49,1.968876
11:41:03,2.772393
11:42:19,2.533643
11:43:36,3.380842
11:44:58,3.891537
11:46:20,3.376746
11:47:46,2.701257
11:49:26,3.381289
11:50:56,2.289512
11:52:28,2.417279
11:53:50,3.730547
11:55:29,2.67072
11:56:57,3.714847
11:58:15,2.522137
11:59:56,4.210409
24:01:17,1.95007
24:02:39,3.575979
24:04:04,2.532466
24:05:34,3.139001
24:06:51,3.664722
24:09:44,3.365574
