starttime_VCO2_6262_1,area_VCO2_6262_1
11:07:52,-8.150754E-03
11:08:29,-1.198589E-02
11:09:33,2.298936E-02
11:10:51,-5.343871E-03
11:11:55,-4.216046E-03
11:13:01,7.087319E-02
11:14:10,3.907041E-03
11:15:20,-.0020593
11:16:25,7.548314E-02
11:17:35,1.845414E-02
11:18:43,-9.461329E-04
11:19:52,3.844469E-02
11:21:04,9.465314E-03
11:22:07,-2.129188E-03
11:23:25,-3.29516E-03
11:24:37,-3.395999E-03
11:25:46,-3.153319E-03
11:26:57,-3.154148E-03
11:28:07,-3.496687E-03
11:29:18,-3.53724E-03
11:30:35,-3.91443E-03
11:32:09,-3.553568E-03
11:33:27,-3.250334E-03
11:34:42,-3.562151E-03
11:36:00,-3.217684E-03
11:37:17,-3.406465E-03
11:38:28,-3.452948E-03
11:39:48,-2.951671E-03
11:40:59,-2.926759E-03
11:42:16,-2.787096E-03
11:43:40,-4.234701E-03
11:45:23,-3.092938E-03
11:46:46,-4.803246E-03
11:48:37,-1.935282E-03
11:07:52,-3.399169E-02
11:08:29,.5770433
11:09:33,.8078095
11:10:51,.4624608
11:11:55,.6648352
11:13:01,.7017736
11:14:10,1.01677
11:15:20,.5520796
11:16:25,1.040483
11:17:35,.669645
11:18:43,.8765044
11:19:52,1.347888
11:21:04,.8214073
11:22:07,2.445031
11:23:25,.9277377
11:24:37,.7660223
11:25:46,.8409396
11:26:57,.8923221
11:28:07,1.160968
11:29:18,1.265444
11:30:35,1.413651
11:32:09,2.475506
11:33:27,1.556641
11:34:42,1.385267
11:36:00,1.581293
11:37:17,1.27057
11:38:28,2.070774
11:39:48,1.013777
11:40:59,2.011246
11:42:16,1.978945
11:43:40,3.215038
11:45:23,1.741846
11:46:46,1.434236
11:48:37,2.006234E-02
