starttime_VCO2_6262_1,area_VCO2_6262_1
17:00:20,1.696464E-03
17:01:38,9.841621E-02
17:02:54,6.675416E-03
17:04:09,.21163
17:17:50,2.84778E-03
17:19:14,.0469612
17:20:32,3.189809E-03
17:21:54,1.264605E-03
17:23:12,2.074775E-03
17:24:52,1.569331E-03
17:26:18,1.247849E-03
17:27:41,1.359378E-03
17:29:22,1.361446E-03
17:30:40,1.296363E-03
17:31:58,1.491774E-03
17:33:25,1.681757E-03
17:35:14,1.635268E-03
17:36:53,1.216644E-03
17:38:29,1.20959E-03
17:39:53,1.781483E-03
17:41:22,2.228641E-03
17:43:16,1.189329E-03
17:44:42,1.536917E-03
17:46:34,2.04606E-03
17:48:24,1.855341E-03
17:50:00,1.749516E-03
17:51:38,1.173661E-03
17:53:08,1.640875E-03
17:54:36,2.654302E-03
17:56:36,1.547384E-03
17:58:10,2.398373E-03
17:00:20,2.798786
17:01:38,2.396375
17:02:54,2.452547
17:04:09,1.752412E-02
17:17:50,2.718607
17:19:14,2.852102
17:20:32,3.067003
17:21:54,2.636618
17:23:12,4.937803
17:24:52,2.934909
17:26:18,2.865427
17:27:41,3.678597
17:29:22,2.900395
17:30:40,2.618075
17:31:58,3.533141
17:33:25,8.686096
17:35:14,4.543496
17:36:53,6.892047
17:38:29,3.603905
17:39:53,5.451272
17:41:22,3.897447
17:43:16,4.8403
17:44:42,7.225156
17:46:34,9.178082
17:48:24,4.707227
17:50:00,7.532902
17:51:38,4.607479
17:53:08,5.043804
17:54:36,9.113976
17:56:36,6.003159
17:58:10,8.884162
