area_v6262_1,starttime_v6262_1,filename_v6262_1
1.402264,11:13:31,RepRec~01-28-2018_0134.exp
1.502747,11:14:54,RepRec~01-28-2018_0134.exp
1.522545,11:16:05,RepRec~01-28-2018_0134.exp
1.873217,11:17:15,RepRec~01-28-2018_0134.exp
2.063722,11:18:32,RepRec~01-28-2018_0134.exp
1.366413,11:19:44,RepRec~01-28-2018_0134.exp
1.759942,11:21:17,RepRec~01-28-2018_0134.exp
1.246171,11:22:25,RepRec~01-28-2018_0134.exp
1.455227,11:23:36,RepRec~01-28-2018_0134.exp
1.734912,11:24:53,RepRec~01-28-2018_0134.exp
2.10143,11:26:13,RepRec~01-28-2018_0134.exp
1.98524,11:27:31,RepRec~01-28-2018_0134.exp
1.426185,11:28:45,RepRec~01-28-2018_0134.exp
0.9893127,11:29:58,RepRec~01-28-2018_0134.exp
1.971881,11:31:10,RepRec~01-28-2018_0134.exp
1.028438,11:32:20,RepRec~01-28-2018_0134.exp
1.486385,11:33:31,RepRec~01-28-2018_0134.exp
1.613912,11:34:46,RepRec~01-28-2018_0134.exp
1.63254,11:36:00,RepRec~01-28-2018_0134.exp
1.560202,11:37:27,RepRec~01-28-2018_0134.exp
3.802608,11:41:24,RepRec~01-28-2018_0134.exp
3.480278,11:42:43,RepRec~01-28-2018_0134.exp
1.679223,11:44:01,RepRec~01-28-2018_0134.exp
1.16674,11:45:21,RepRec~01-28-2018_0134.exp
1.65645,11:46:22,RepRec~01-28-2018_0134.exp
2.594247,11:47:39,RepRec~01-28-2018_0134.exp
5.355976,11:48:55,RepRec~01-28-2018_0134.exp
1.897733,11:50:19,RepRec~01-28-2018_0134.exp
6.036593,11:52:06,RepRec~01-28-2018_0134.exp
4.296444,11:53:37,RepRec~01-28-2018_0134.exp
2.472673,11:54:54,RepRec~01-28-2018_0134.exp
2.123874,11:56:21,RepRec~01-28-2018_0134.exp
1.862136,11:58:15,RepRec~01-28-2018_0134.exp
4.619876,11:59:32,RepRec~01-28-2018_0134.exp
2.148394,24:01:30,RepRec~01-28-2018_0134.exp
4.553972,24:02:43,RepRec~01-28-2018_0134.exp
6.239497,24:04:10,RepRec~01-28-2018_0134.exp
3.238782,24:05:57,RepRec~01-28-2018_0134.exp
2.639973,24:07:28,RepRec~01-28-2018_0134.exp
1.979673,24:08:54,RepRec~01-28-2018_0134.exp
5.186844,24:10:09,RepRec~01-28-2018_0134.exp
