starttime_VCO2_6262_1,area_VCO2_6262_1
24:56:00,2.010707E-03
24:57:17,4.815012E-02
24:58:42,4.805539E-03
13:00:02,4.034512E-02
13:01:26,1.031389E-02
13:02:45,3.711211E-03
13:04:08,4.486569E-02
13:05:31,4.257723E-03
13:06:58,.146919
13:08:24,5.239059E-02
13:09:46,6.562783E-03
13:11:10,.1611428
13:12:38,8.575711E-03
13:13:57,3.105339E-02
13:15:20,2.321079E-02
13:16:35,4.11747E-03
13:18:01,2.563993E-03
13:19:32,2.445647E-03
13:20:57,2.046513E-03
24:56:00,1.398316
24:57:17,2.316708
24:58:42,1.874822
13:00:02,3.107656
13:01:26,1.381841
13:02:45,1.809574
13:04:08,2.26959
13:05:31,2.123413
13:06:58,2.575022
13:08:24,2.327175
13:09:46,2.939029
13:11:10,1.874866
13:12:38,1.488056
13:13:57,1.181699
13:15:20,1.11566
13:16:35,1.708662
13:18:01,4.01165
13:19:32,2.735959
13:20:57,5.938025E-02
