starttime_VCO2_6262_1,area_VCO2_6262_1
11:35:05,1.77971E-03
11:36:14,5.194798E-02
11:37:20,5.522414E-03
11:38:44,2.971249E-03
11:39:53,5.443952E-02
11:40:57,2.627628E-03
11:42:03,1.966933E-03
11:43:09,4.655883E-02
11:44:27,2.207857E-03
11:45:30,2.625212E-03
11:46:34,.0496914
11:47:42,4.080336E-03
11:48:55,3.127824E-03
11:50:03,4.669217E-02
11:51:10,4.47189E-03
11:52:16,2.562459E-03
11:53:23,4.962393E-02
11:54:46,3.278863E-03
11:56:04,2.773586E-03
11:57:16,1.514957E-03
11:58:30,1.321501E-03
11:59:42,9.392632E-04
24:00:47,1.683474E-03
24:02:04,1.174266E-03
24:03:10,1.219836E-03
24:04:19,.001365
24:05:28,1.062019E-03
24:06:39,1.047561E-03
24:07:45,8.204277E-04
11:35:05,1.573258
11:36:14,.9967005
11:37:20,1.066047
11:38:44,1.417179
11:39:53,.7161178
11:40:57,1.070491
11:42:03,1.261801
11:43:09,2.097959
11:44:27,.8645014
11:45:30,.9135791
11:46:34,1.356593
11:47:42,.9157314
11:48:55,1.207169
11:50:03,1.242245
11:51:10,1.097762
11:52:16,1.010364
11:53:23,2.256099
11:54:46,1.05653
11:56:04,1.77619
11:57:16,2.632136
11:58:30,2.176088
11:59:42,1.018941
24:00:47,1.629541
24:02:04,1.150903
24:03:10,1.611084
24:04:19,1.624814
24:05:28,2.095108
24:06:39,.9981778
24:07:45,4.263238E-02
