starttime_VCO2_6262_1,area_VCO2_6262_1
13:28:56,3.454743E-03
13:30:05,2.418353E-03
13:31:34,9.559612E-02
13:32:49,5.042781E-03
13:34:16,.1091738
13:35:49,8.190773E-03
13:37:16,2.597041E-03
13:38:43,.1184681
13:40:21,3.947188E-03
13:42:06,4.495244E-02
13:43:34,3.480189E-03
13:45:52,7.748718E-04
13:47:06,7.494123E-04
13:48:21,8.117803E-04
13:49:34,7.11593E-04
13:50:42,8.150412E-04
13:51:53,1.170343E-03
13:53:08,9.831123E-04
13:54:29,1.166622E-03
13:55:37,1.495544E-03
13:56:59,9.046985E-04
13:58:16,8.997025E-04
13:59:31,1.490233E-03
14:00:51,1.175837E-03
14:02:09,1.276346E-03
14:03:27,1.269683E-03
14:04:45,1.202837E-03
14:06:07,1.329822E-03
14:07:21,1.397258E-03
14:08:39,1.219917E-03
14:09:58,1.397885E-03
14:11:16,1.046071E-03
14:12:32,1.645095E-03
14:13:49,1.173143E-03
14:15:10,1.578117E-03
14:16:23,1.880284E-03
14:17:53,1.819181E-03
14:19:19,1.788463E-03
14:20:36,1.931269E-03
14:21:57,1.279287E-03
13:28:56,-4.615575E-03
13:30:05,1.502617
13:31:34,.5390887
13:32:49,1.463345
13:34:16,1.671603
13:35:49,1.837209
13:37:16,1.888442
13:38:43,1.950436
13:40:21,2.257266
13:42:06,2.468878
13:43:34,2.035331
13:45:52,1.624485
13:47:06,2.002871
13:48:21,1.617644
13:49:34,.7598513
13:50:42,1.108121
13:51:53,1.898527
13:53:08,2.208146
13:54:29,.6522505
13:55:37,2.121159
13:56:59,1.873092
13:58:16,1.566298
13:59:31,2.245006
14:00:51,1.900747
14:02:09,1.958817
14:03:27,2.043829
14:04:45,3.827801
14:06:07,1.44954
14:07:21,2.416363
14:08:39,2.747336
14:09:58,2.419393
14:11:16,1.41803
14:12:32,2.196397
14:13:49,2.021631
14:15:10,1.118409
14:16:23,5.05192
14:17:53,3.40262
14:19:19,1.605722
14:20:36,3.223814
14:21:57,6.731072
