starttime_VCO2_6262_1,area_VCO2_6262_1
16:12:54,.0013048
16:14:17,5.361358E-02
16:15:40,3.96428E-03
16:17:05,.199656
16:18:38,1.245178E-02
16:20:12,2.552406E-02
16:21:37,4.184903E-02
16:23:17,1.81446
16:25:13,1.167424
16:26:54,9.442081E-02
16:29:08,5.334304E-03
16:30:56,.0701535
16:32:35,5.437165E-03
16:34:14,1.108197E-03
16:35:37,1.568911E-03
16:37:17,7.601529E-04
16:38:42,9.565882E-04
16:40:17,1.312015E-03
16:41:42,1.12846E-03
16:43:09,1.580732E-03
16:45:04,1.716794E-03
16:46:41,1.387648E-03
16:48:10,1.515452E-03
16:49:56,1.89322E-03
16:51:45,1.528705E-03
16:53:27,2.343941E-03
16:55:11,1.504883E-03
16:57:01,1.593869E-03
16:58:45,1.24602E-03
17:00:33,1.512137E-03
17:02:20,1.245723E-03
17:03:59,1.490406E-03
17:05:35,1.468648E-03
17:07:05,1.23729E-03
17:08:47,1.298135E-03
17:10:15,1.855829E-03
16:12:54,4.32186
16:14:17,4.22256
16:15:40,4.441444
16:17:05,7.000258
16:18:38,7.287787
16:20:12,4.026152
16:21:37,8.050808
16:23:17,5.375755
16:25:13,5.903803
16:26:54,7.903102
16:29:08,5.802516
16:30:56,6.10078
16:32:35,4.931694
16:34:14,4.028571
16:35:37,7.923516
16:37:17,4.628523
16:38:42,6.422121
16:40:17,4.216876
16:41:42,3.985874
16:43:09,8.953565
16:45:04,7.623329
16:46:41,5.788642
16:48:10,9.160607
16:49:56,6.019462
16:51:45,8.791231
16:53:27,8.433522
16:55:11,7.188161
16:57:01,4.576415
16:58:45,9.630012
17:00:33,8.970864
17:02:20,6.547167
17:03:59,6.292132
17:05:35,5.853008
17:07:05,3.668133
17:08:47,5.47099
17:10:15,7.828476
