starttime_VCO2_6262_1,area_VCO2_6262_1
10:48:17,-8.803024E-03
10:49:17,-4.163787E-03
10:50:21,-2.138612E-03
10:51:28,-1.416795E-03
10:52:41,-8.839945E-04
10:54:03,-4.149184E-04
10:55:24,-3.037037E-04
10:56:49,-4.203516E-04
10:58:31,-5.030539E-04
10:59:45,1.838662E-04
11:01:00,-8.476192E-05
11:02:17,5.830366E-04
11:03:27,3.151168E-04
11:04:42,5.575886E-04
11:05:56,7.206918E-04
11:07:08,1.156566E-03
11:08:30,8.839245E-04
11:09:41,9.497671E-04
11:10:50,1.399708E-03
10:48:17,-5.098425E-03
10:49:17,.6658565
10:50:21,.7639548
10:51:28,.838189
10:52:41,.6515248
10:54:03,1.226508
10:55:24,1.21708
10:56:49,.9839764
10:58:31,.83626
10:59:45,.9038178
11:01:00,1.293769
11:02:17,.7645277
11:03:27,.9439186
11:04:42,.9831792
11:05:56,1.84909
11:07:08,1.731503
11:08:30,1.249716
11:09:41,.9695849
11:10:50,1.103687
