starttime_VCO2_6262_1,area_VCO2_6262_1
13:15:24,5.963687E-03
13:16:13,6.558879E-02
13:17:25,1.859982E-02
13:18:39,1.778419E-02
13:19:58,9.080817E-02
13:21:19,2.020343E-02
13:22:42,.1027868
13:23:52,1.700041E-02
13:24:40,1.777579E-02
13:25:50,1.519065E-02
13:27:00,.5390919
13:28:17,3.246356E-02
13:29:31,8.094765E-02
13:30:47,2.554541E-02
13:32:04,1.551523E-02
13:33:21,8.806945E-02
13:34:35,1.633513E-02
13:35:53,1.400355E-02
13:37:07,.0122248
13:38:19,.0125109
13:39:35,1.186186E-02
13:40:50,9.851675E-03
13:41:55,7.454423E-03
13:15:24,4.024602E-02
13:16:13,.7106665
13:17:25,.8040134
13:18:39,1.558767
13:19:58,1.900263
13:21:19,1.300855
13:22:42,.5720397
13:23:52,3.788423E-02
13:24:40,.6999637
13:25:50,.7054391
13:27:00,1.580863
13:28:17,1.113797
13:29:31,1.272289
13:30:47,1.474461
13:32:04,1.219924
13:33:21,1.120933
13:34:35,1.729796
13:35:53,1.255152
13:37:07,1.030291
13:38:19,1.525872
13:39:35,1.515826
13:40:50,.5152606
13:41:55,5.682487E-02
