starttime_VCO2_6262_1,area_VCO2_6262_1
14:12:24,7.937446E-04
14:12:57,3.922067E-02
14:14:20,1.943567E-02
14:16:07,3.437338E-03
14:17:28,6.669599E-02
14:18:52,3.921715E-03
14:20:21,.0838906
14:21:47,5.012779E-03
14:23:15,1.687107E-02
14:24:38,2.157433
14:26:03,.0908778
14:27:29,.1359553
14:28:52,9.589463E-03
14:30:19,4.422847E-02
14:31:46,4.381447E-02
14:33:11,5.162336E-03
14:34:47,3.889686E-03
14:37:15,2.904436E-03
14:38:49,2.707135E-03
14:40:33,2.784791E-03
14:42:19,1.791143E-03
14:43:59,2.522785E-03
14:45:49,1.883338E-03
14:47:35,2.38738E-03
14:49:17,2.012494E-03
14:50:53,2.135167E-03
14:52:46,1.48137E-03
14:54:24,1.202557E-03
14:56:21,1.679122E-03
14:58:07,1.510725E-03
14:59:57,1.468402E-03
15:01:44,2.165891E-03
15:03:34,1.636913E-03
15:05:29,1.752353E-03
15:07:17,1.41783E-03
15:09:04,1.597389E-03
15:10:49,1.617581E-03
14:12:24,7.096208E-02
14:12:57,3.431885
14:14:20,5.03398
14:16:07,3.040866
14:17:28,3.902718
14:18:52,4.732439
14:20:21,4.345108
14:21:47,4.813956
14:23:15,3.5992
14:24:38,3.988992
14:26:03,3.914536
14:27:29,3.715626
14:28:52,4.576116
14:30:19,3.125394
14:31:46,3.853635
14:33:11,7.489322
14:34:47,-6.011233E-02
14:37:15,7.450046
14:38:49,8.803084
14:40:33,8.513374
14:42:19,7.810752
14:43:59,9.064387
14:45:49,8.373612
14:47:35,7.434067
14:49:17,6.497317
14:50:53,8.238228
14:52:46,7.180184
14:54:24,9.570592
14:56:21,8.108583
14:58:07,8.656068
14:59:57,8.48108
15:01:44,8.574569
15:03:34,8.794211
15:05:29,8.451963
15:07:17,7.612125
15:09:04,8.184236
15:10:49,6.903742
