starttime_VCO2_6262_1,area_VCO2_6262_1
16:13:05,-7.177596E-03
16:14:15,-6.234678E-03
16:15:28,7.015497E-02
16:16:47,-3.250505E-03
16:18:08,-4.39295E-03
16:19:26,6.492618E-02
16:20:57,-2.337922E-03
16:22:11,-4.471519E-03
16:23:27,-8.120325E-03
16:25:52,-4.407091E-03
16:27:25,-3.722785E-03
16:28:43,-4.425442E-03
16:30:08,-3.819666E-03
16:31:37,-2.843281E-03
16:32:51,-2.537357E-03
16:34:04,-2.669913E-03
16:35:18,-.0024478
16:36:40,-2.05224E-03
16:37:49,-9.176942E-03
16:44:06,-.0017149
16:45:34,-1.025527E-03
16:46:57,-1.308681E-03
16:48:22,-1.305198E-04
16:49:39,-1.014918E-04
16:51:16,-4.473955E-04
16:52:33,-2.046414E-04
16:54:13,2.364256E-04
16:55:36,-4.748206E-05
16:56:53,3.780939E-04
16:13:05,-.3714691
16:14:15,1.206313
16:15:28,1.133802
16:16:47,1.566729
16:18:08,3.091684
16:19:26,1.611502
16:20:57,1.974658
16:22:11,1.818935
16:23:27,1.242591
16:25:52,1.374106
16:27:25,1.635063
16:28:43,1.399447
16:30:08,3.178203
16:31:37,1.687312
16:32:51,1.218408
16:34:04,1.553317
16:35:18,3.59067
16:36:40,.9985214
16:37:49,-.865514
16:44:06,2.747015
16:45:34,3.325982
16:46:57,2.633372
16:48:22,2.235197
16:49:39,2.154478
16:51:16,2.440665
16:52:33,2.64683
16:54:13,3.124285
16:55:36,2.750317
16:56:53,2.463344
