starttime_VCO2_6262_1,area_VCO2_6262_1
17:13:12,5.358185E-02
17:15:21,5.623424E-03
17:16:48,4.863164E-02
17:18:38,1.070165E-02
17:20:25,2.202993E-02
17:21:59,3.465372E-02
17:23:27,2.216417E-03
17:24:57,2.524879
17:26:43,.1140141
17:28:25,4.944702E-02
17:30:01,3.079999E-03
17:31:46,4.955407E-02
17:33:21,2.378346E-03
17:35:02,4.04062E-04
17:36:44,4.425764E-04
17:38:12,8.098501E-04
17:40:07,2.29821E-04
17:41:48,-5.046769E-05
17:43:40,1.394894E-04
17:45:27,5.636418E-04
17:47:25,6.581755E-05
17:49:02,1.654918E-04
17:50:48,1.946541E-04
17:52:18,-1.63537E-04
17:54:08,-2.77039E-04
17:55:46,-1.116803E-04
17:57:19,-4.301455E-04
17:58:56,-2.288178E-05
18:00:34,-3.774686E-04
18:02:08,-4.740599E-04
18:03:39,-5.690654E-04
18:05:27,-8.286324E-04
18:06:58,2.313656E-04
18:08:28,-5.079163E-05
17:13:12,5.119876
17:15:21,4.566738
17:16:48,8.044069
17:18:38,7.434225
17:20:25,6.388987
17:21:59,4.692862
17:23:27,5.265637
17:24:57,9.402346
17:26:43,8.125586
17:28:25,6.906596
17:30:01,8.772246
17:31:46,5.162347
17:33:21,8.379481
17:35:02,8.386445
17:36:44,4.711712
17:38:12,8.223825
17:40:07,8.407705
17:41:48,9.236819
17:43:40,8.529709
17:45:27,5.649804
17:47:25,7.709511
17:49:02,5.810373
17:50:48,4.750773
17:52:18,8.682726
17:54:08,7.012414
17:55:46,6.168869
17:57:19,5.565152
17:58:56,7.267676
18:00:34,5.387223
18:02:08,3.844118
18:03:39,6.233359
18:05:27,5.051551
18:06:58,4.810998
18:08:28,5.780466E-02
