starttime_VCO2_6262_1,area_VCO2_6262_1
13:23:24,1.764691E-03
13:24:38,5.094637E-02
13:25:53,5.712233E-03
13:27:16,2.407562E-03
13:28:29,5.116602E-02
13:29:43,2.989001E-03
13:31:00,.040464
13:32:14,7.599853E-03
13:33:26,2.987173E-03
13:34:50,.1602485
13:36:02,9.679541E-03
13:37:20,3.349505E-03
13:38:35,5.956714E-02
13:39:55,3.713559E-03
13:41:21,7.089523E-02
13:42:48,8.320453E-03
13:44:04,4.126907E-03
13:45:23,1.629804E-03
13:46:47,1.481638E-03
13:48:11,1.19252E-03
13:49:30,7.065915E-04
13:50:54,8.518224E-04
13:52:17,1.058427E-03
13:53:40,1.015149E-03
13:55:08,1.006669E-03
13:56:38,8.153756E-04
13:57:59,9.240133E-04
13:59:29,3.946314E-04
14:01:09,1.108406E-03
14:02:37,6.740563E-04
14:03:56,2.231636E-04
14:05:29,2.472251E-04
14:06:54,3.562027E-04
14:08:11,3.4036E-05
14:09:35,7.082826E-04
14:11:02,3.793362E-04
14:12:30,3.400455E-04
13:23:24,2.250409
13:24:38,1.458599
13:25:53,2.738107
13:27:16,1.764084
13:28:29,1.177575
13:29:43,1.472693
13:31:00,1.489145
13:32:14,1.245469
13:33:26,2.813742
13:34:50,1.439034
13:36:02,1.673303
13:37:20,1.60301
13:38:35,3.010852
13:39:55,4.050223
13:41:21,4.641857
13:42:48,1.715126
13:44:04,1.497978
13:45:23,3.379393
13:46:47,3.105844
13:48:11,2.49618
13:49:30,2.864216
13:50:54,2.377398
13:52:17,4.221783
13:53:40,5.114893
13:55:08,4.69205
13:56:38,1.717307
13:57:59,5.112415
13:59:29,7.197196
14:01:09,3.678464
14:02:37,1.869675
14:03:56,5.589008
14:05:29,2.101695
14:06:54,2.617346
14:08:11,2.46181
14:09:35,3.157401
14:11:02,3.611865
14:12:30,6.977934E-02
