starttime_VCO2_6262_1,area_VCO2_6262_1
16:50:04,1.214484E-03
16:51:17,6.430048E-02
16:52:36,4.287936E-03
16:53:48,2.341213E-03
16:55:02,5.652675E-02
16:56:19,3.947051E-03
16:57:34,1.548535E-02
16:58:51,.0463918
17:00:15,3.23277E-03
17:01:32,.2480047
17:02:51,1.580587E-02
17:04:13,4.107135E-03
17:05:30,5.365032E-02
17:06:48,2.735141E-03
17:08:14,7.762385E-02
17:09:31,.0184921
17:10:50,3.359418E-03
17:12:10,1.371879E-03
17:13:35,7.987767E-04
17:14:51,9.239046E-04
16:50:04,1.249938
16:51:17,2.083999
16:52:36,1.028638
16:53:48,1.552775
16:55:02,1.597869
16:56:19,1.55395
16:57:34,1.782921
16:58:51,3.379054
17:00:15,1.75386
17:01:32,2.225767
17:02:51,1.838448
17:04:13,1.884106
17:05:30,1.617066
17:06:48,2.686596
17:08:14,1.503807
17:09:31,1.866934
17:10:50,1.789663
17:12:10,3.153389
17:13:35,1.402871
17:14:51,4.610594E-02
