starttime_VCO2_6262_1,area_VCO2_6262_1
24:06:01,1.887841E-03
24:07:25,6.182381E-02
24:08:48,3.820829E-03
24:10:01,5.526396E-02
24:11:21,4.900714E-03
24:12:40,2.748752E-03
24:14:00,4.641411E-02
24:15:16,3.326691E-03
24:16:36,1.362674E-03
24:17:53,3.990652E-02
24:19:12,2.228118E-03
24:20:23,6.466103E-02
24:21:39,2.250355E-02
24:22:54,3.391891E-03
24:24:21,.1771873
24:25:38,8.010139E-03
24:26:46,3.568562E-03
24:28:11,3.981089E-04
24:29:49,-2.570041E-04
24:31:14,-1.403021E-04
24:32:38,-4.352145E-04
24:34:18,-6.724557E-04
24:35:39,-6.9521E-04
24:37:08,-8.685647E-04
24:38:26,-1.047081E-03
24:39:56,-1.376515E-03
24:41:09,-1.030937E-03
24:42:25,-1.208723E-03
24:43:39,-1.39099E-03
24:44:54,-1.421254E-03
24:46:16,-1.305891E-03
24:47:30,-1.216439E-03
24:06:01,2.035789
24:07:25,2.341707
24:08:48,1.855904
24:10:01,3.249128
24:11:21,2.123082
24:12:40,3.032161
24:14:00,1.931209
24:15:16,2.248818
24:16:36,1.976812
24:17:53,.9526842
24:19:12,1.599151
24:20:23,1.313218
24:21:39,1.444144
24:22:54,5.013777
24:24:21,2.175578
24:25:38,1.036464
24:26:46,1.936765
24:28:11,4.030534
24:29:49,1.1229
24:31:14,2.800192
24:32:38,1.240336
24:34:18,1.65544
24:35:39,1.833597
24:37:08,1.854511
24:38:26,1.071843
24:39:56,1.950626
24:41:09,2.220184
24:42:25,1.442154
24:43:39,2.111252
24:44:54,3.800201
24:46:16,1.6246
24:47:30,2.111633E-02
