starttime_VCO2_6262_1,area_VCO2_6262_1
24:02:45,2.022339E-03
24:04:03,2.18909E-03
24:05:20,6.934354E-03
24:06:30,.177546
24:07:38,6.377649E-02
24:08:44,8.89065E-03
24:09:52,2.593273E-02
24:11:02,3.681437E-02
24:12:13,3.069798E-03
24:13:25,3.770028E-02
24:14:37,1.404784E-02
24:15:47,2.484851E-03
24:16:54,9.123893E-04
24:18:11,1.170875E-03
24:19:38,2.650032E-04
24:20:55,5.506846E-04
24:22:18,6.030901E-04
24:23:36,7.212364E-04
24:24:55,5.274044E-04
24:26:06,7.416512E-04
24:27:21,6.763322E-04
24:28:54,6.528851E-04
24:30:12,2.51215E-04
24:31:30,3.950616E-04
24:32:47,-2.224409E-04
24:34:24,3.044594E-05
24:35:38,3.400277E-04
24:37:01,3.520932E-04
24:38:18,2.493308E-04
24:39:42,6.519684E-04
24:41:04,5.712833E-04
24:42:25,5.186569E-04
24:43:46,4.237451E-04
24:45:02,8.485893E-04
24:46:27,6.150575E-04
24:47:53,-2.606027E-05
24:49:22,2.40983E-04
24:50:40,2.195384E-04
24:52:02,-1.754319E-05
24:53:24,3.258869E-04
24:02:45,.0224413
24:04:03,.6769567
24:05:20,.4901975
24:06:30,.8055502
24:07:38,.7028472
24:08:44,.8939502
24:09:52,.94105
24:11:02,1.031427
24:12:13,1.069187
24:13:25,.8570729
24:14:37,.9362911
24:15:47,.8027508
24:16:54,1.446575
24:18:11,2.121741
24:19:38,1.155311
24:20:55,1.688758
24:22:18,.9091017
24:23:36,.9280576
24:24:55,.8869802
24:26:06,.9978378
24:27:21,3.114615
24:28:54,1.407709
24:30:12,1.813196
24:31:30,.9374952
24:32:47,2.544184
24:34:24,.9095118
24:35:38,2.441662
24:37:01,1.305784
24:38:18,2.431341
24:39:42,1.887905
24:41:04,1.81096
24:42:25,1.728825
24:43:46,1.228714
24:45:02,2.213271
24:46:27,2.704883
24:47:53,1.439224
24:49:22,1.120311
24:50:40,2.301831
24:52:02,1.270402
24:53:24,1.93827
